Date,Load,Zone
1/2/2019 2:00:00 AM,238.3,MILLWD
1/2/2019 2:00:00 AM,4366.5,N.Y.C.
1/2/2019 2:00:00 AM,574,NORTH
1/2/2019 2:00:00 AM,1518.9,WEST
1/2/2019 3:00:00 AM,1115.4,CAPITL
1/2/2019 3:00:00 AM,1615.2,CENTRL
1/2/2019 3:00:00 AM,499.8,DUNWOD
1/2/2019 3:00:00 AM,922.5,GENESE
1/2/2019 3:00:00 AM,882.9,HUD VL
1/2/2019 3:00:00 AM,1700.2,LONGIL
1/2/2019 3:00:00 AM,798.1,MHK VL
1/2/2019 3:00:00 AM,229,MILLWD
1/2/2019 3:00:00 AM,4332.6,N.Y.C.
1/2/2019 3:00:00 AM,573.5,NORTH
1/2/2019 3:00:00 AM,1545.5,WEST
1/2/2019 4:00:00 AM,1152.3,CAPITL
1/2/2019 4:00:00 AM,1662.6,CENTRL
1/2/2019 4:00:00 AM,507.1,DUNWOD
1/2/2019 4:00:00 AM,952.9,GENESE
1/2/2019 4:00:00 AM,897.6,HUD VL
1/2/2019 4:00:00 AM,1745.5,LONGIL
1/2/2019 4:00:00 AM,826.5,MHK VL
1/2/2019 4:00:00 AM,246.4,MILLWD
1/2/2019 4:00:00 AM,4395.3,N.Y.C.
1/2/2019 4:00:00 AM,578.5,NORTH
1/2/2019 4:00:00 AM,1582.6,WEST
1/2/2019 5:00:00 AM,1243.5,CAPITL
1/2/2019 5:00:00 AM,1775.5,CENTRL
1/2/2019 5:00:00 AM,543.4,DUNWOD
1/2/2019 5:00:00 AM,1028.1,GENESE
1/2/2019 5:00:00 AM,959.3,HUD VL
1/2/2019 5:00:00 AM,1881.3,LONGIL
1/2/2019 5:00:00 AM,891.7,MHK VL
1/2/2019 5:00:00 AM,271.7,MILLWD
1/2/2019 5:00:00 AM,4650.9,N.Y.C.
1/2/2019 5:00:00 AM,598.7,NORTH
1/2/2019 5:00:00 AM,1664.5,WEST
1/2/2019 6:00:00 AM,1386.8,CAPITL
1/2/2019 6:00:00 AM,1962.1,CENTRL
1/2/2019 6:00:00 AM,616.6,DUNWOD
1/2/2019 6:00:00 AM,1141.1,GENESE
1/2/2019 6:00:00 AM,1065.4,HUD VL
1/2/2019 6:00:00 AM,2113.9,LONGIL
1/2/2019 6:00:00 AM,991.4,MHK VL
1/2/2019 6:00:00 AM,310.4,MILLWD
1/2/2019 6:00:00 AM,5163.5,N.Y.C.
1/2/2019 6:00:00 AM,633.2,NORTH
1/2/2019 6:00:00 AM,1804.4,WEST
1/2/2019 7:00:00 AM,1473.7,CAPITL
1/2/2019 7:00:00 AM,2087.1,CENTRL
1/2/2019 7:00:00 AM,682.3,DUNWOD
1/2/2019 7:00:00 AM,1224.8,GENESE
1/2/2019 7:00:00 AM,1139.8,HUD VL
1/2/2019 7:00:00 AM,2280,LONGIL
1/2/2019 7:00:00 AM,1070.1,MHK VL
1/2/2019 7:00:00 AM,332,MILLWD
1/2/2019 7:00:00 AM,5686.7,N.Y.C.
1/2/2019 7:00:00 AM,650.7,NORTH
1/2/2019 7:00:00 AM,1901,WEST
1/2/2019 8:00:00 AM,1459.2,CAPITL
1/2/2019 8:00:00 AM,2095.8,CENTRL
1/2/2019 8:00:00 AM,693.1,DUNWOD
1/2/2019 8:00:00 AM,1243.4,GENESE
1/2/2019 8:00:00 AM,1149.1,HUD VL
1/2/2019 8:00:00 AM,2312.3,LONGIL
1/2/2019 8:00:00 AM,1067.7,MHK VL
1/2/2019 8:00:00 AM,337.9,MILLWD
1/2/2019 8:00:00 AM,6003.8,N.Y.C.
1/2/2019 8:00:00 AM,654.3,NORTH
1/2/2019 8:00:00 AM,1908.8,WEST
1/2/2019 9:00:00 AM,1409,CAPITL
1/2/2019 9:00:00 AM,2089.1,CENTRL
1/2/2019 9:00:00 AM,700.7,DUNWOD
1/2/2019 9:00:00 AM,1253.2,GENESE
1/2/2019 9:00:00 AM,1137.1,HUD VL
1/2/2019 9:00:00 AM,2303.2,LONGIL
1/2/2019 9:00:00 AM,1053.2,MHK VL
1/2/2019 9:00:00 AM,343,MILLWD
1/2/2019 9:00:00 AM,6193.8,N.Y.C.
1/2/2019 9:00:00 AM,674.7,NORTH
1/2/2019 9:00:00 AM,1920.1,WEST
1/2/2019 10:00:00 AM,1374.5,CAPITL
1/2/2019 10:00:00 AM,2097.3,CENTRL
1/2/2019 10:00:00 AM,700.1,DUNWOD
1/2/2019 10:00:00 AM,1237.6,GENESE
1/2/2019 10:00:00 AM,1120.6,HUD VL
1/2/2019 10:00:00 AM,2266.2,LONGIL
1/2/2019 10:00:00 AM,1036.1,MHK VL
1/2/2019 10:00:00 AM,330.8,MILLWD
1/2/2019 10:00:00 AM,6245.6,N.Y.C.
1/2/2019 10:00:00 AM,678.5,NORTH
1/2/2019 10:00:00 AM,1930.6,WEST
1/2/2019 11:00:00 AM,1347.2,CAPITL
1/2/2019 11:00:00 AM,2081.3,CENTRL
1/2/2019 11:00:00 AM,692.3,DUNWOD
1/2/2019 11:00:00 AM,1223.9,GENESE
1/2/2019 11:00:00 AM,1099,HUD VL
1/2/2019 11:00:00 AM,2217.9,LONGIL
1/2/2019 11:00:00 AM,1010,MHK VL
1/2/2019 11:00:00 AM,327.7,MILLWD
1/2/2019 11:00:00 AM,6256.3,N.Y.C.
1/2/2019 11:00:00 AM,673.1,NORTH
1/2/2019 11:00:00 AM,1930,WEST
1/2/2019 12:00:00 PM,1343.6,CAPITL
1/2/2019 12:00:00 PM,2058.7,CENTRL
1/2/2019 12:00:00 PM,685.1,DUNWOD
